120_metros => 120_metros, tag#Zu, ctag#Zu, pos#number, lemma#LN_m:120
abandonó => abandonó, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#abandonar
abate => abate, tag#NCMS000, ctag#NC, pos#noun, lemma#abate
abate => abate, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#abatir
abdomen => abdomen, tag#NCMS000, ctag#NC, pos#noun, lemma#abdomen
abejas => abejas, tag#NCFP000, ctag#NC, pos#noun, lemma#abeja
aberraciones => aberraciones, tag#NCFP000, ctag#NC, pos#noun, lemma#aberración
abierta => abierta, tag#VMP00SF, ctag#VMP, pos#verb, lemma#abrir
abierto => abierto, tag#VMP00SM, ctag#VMP, pos#verb, lemma#abrir
abiertos => abiertos, tag#VMP00PM, ctag#VMP, pos#verb, lemma#abrir
abigarrado => abigarrado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#abigarrar
abismos => abismos, tag#NCMP000, ctag#NC, pos#noun, lemma#abismo
abnegación => abnegación, tag#NCFS000, ctag#NC, pos#noun, lemma#abnegación
abofetear => abofetear, tag#VMN0000, ctag#VMN, pos#verb, lemma#abofetear
abogacía => abogacía, tag#NCFS000, ctag#NC, pos#noun, lemma#abogacía
abogada => abogada, tag#NCFS000, ctag#NC, pos#noun, lemma#abogado
abogadejo => abogadejo, tag#NCMS00V, ctag#NC, pos#noun, lemma#abogado
abogadillo => abogadillo, tag#NCMS00V, ctag#NC, pos#noun, lemma#abogado
abogado => abogado, tag#NCMS000, ctag#NC, pos#noun, lemma#abogado
abogados => abogados, tag#NCMP000, ctag#NC, pos#noun, lemma#abogado
abolengo => abolengo, tag#NCMS000, ctag#NC, pos#noun, lemma#abolengo
abominables => abominables, tag#AQ0CP00, ctag#AQ, pos#adjective, lemma#abominable
abordar => abordar, tag#VMN0000, ctag#VMN, pos#verb, lemma#abordar
aborrece => aborrece, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#aborrecer
aborrecerá => aborrecerá, tag#VMIF3S0, ctag#VMI, pos#verb, lemma#aborrecer
Aborreciendo => Aborreciendo, tag#VMG0000, ctag#VMG, pos#verb, lemma#aborrecer
aborrecimiento => aborrecimiento, tag#NCMS000, ctag#NC, pos#noun, lemma#aborrecimiento
aborrezca => aborrezca, tag#VMSP3S0, ctag#VMS, pos#verb, lemma#aborrecer
aborrezco => aborrezco, tag#VMIP1S0, ctag#VMI, pos#verb, lemma#aborrecer
Aborrezco => Aborrezco, tag#VMIP1S0, ctag#VMI, pos#verb, lemma#aborrecer
abran => abran, tag#VMSP3P0, ctag#VMS, pos#verb, lemma#abrir
abrasa => abrasa, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#abrasar
abrasaba => abrasaba, tag#VMII3S0, ctag#VMI, pos#verb, lemma#abrasar
abras => abras, tag#NCFP000, ctag#NC, pos#noun, lemma#abra
abrasada => abrasada, tag#VMP00SF, ctag#VMP, pos#verb, lemma#abrasar
abrasado => abrasado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#abrasar
abrasador => abrasador, tag#AQ0MS00, ctag#AQ, pos#adjective, lemma#abrasador
abrasan => abrasan, tag#VMIP3P0, ctag#VMI, pos#verb, lemma#abrasar
abraso => abraso, tag#VMIP1S0, ctag#VMI, pos#verb, lemma#abrasar
abrazando => abrazando, tag#VMG0000, ctag#VMG, pos#verb, lemma#abrazar
abrazar => abrazar, tag#VMN0000, ctag#VMN, pos#verb, lemma#abrazar
abrazaron => abrazaron, tag#VMIS3P0, ctag#VMI, pos#verb, lemma#abrazar
abrazo => abrazo, tag#NCMS000, ctag#NC, pos#noun, lemma#abrazo
abrazó => abrazó, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#abrazar
abre => abre, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#abrir
abría => abría, tag#VMII3S0, ctag#VMI, pos#verb, lemma#abrir
abrían => abrían, tag#VMII3P0, ctag#VMI, pos#verb, lemma#abrir
Abríanse => Abríanse, tag#NP00000, ctag#NP, pos#noun, lemma#abríanse
abriendo => abriendo, tag#VMG0000, ctag#VMG, pos#verb, lemma#abrir
abrigo => abrigo, tag#NCMS000, ctag#NC, pos#noun, lemma#abrigo
abrió => abrió, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#abrir
Abrió => Abrió, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#abrir
abriose => abriose, tag#VMSP3S0, ctag#VMS, pos#verb, lemma#abriose
abrir => abrir, tag#VMN0000, ctag#VMN, pos#verb, lemma#abrir
ábside => ábside, tag#NCMS000, ctag#NC, pos#noun, lemma#ábside
absoluta => absoluta, tag#AQ0FS00, ctag#AQ, pos#adjective, lemma#absoluto
absolutamente => absolutamente, tag#RG, ctag#RG, pos#adverb, lemma#absolutamente
Absolutamente => Absolutamente, tag#RG, ctag#RG, pos#adverb, lemma#absolutamente
absoluto => absoluto, tag#AQ0MS00, ctag#AQ, pos#adjective, lemma#absoluto
absorbían => absorbían, tag#VMII3P0, ctag#VMI, pos#verb, lemma#absorber
absorto => absorto, tag#AQ0MS00, ctag#AQ, pos#adjective, lemma#absorto
abstuvo => abstuvo, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#abstener
absuelve => absuelve, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#absolver
absurdas => absurdas, tag#AQ0FP00, ctag#AQ, pos#adjective, lemma#absurdo
absurdo => absurdo, tag#AQ0MS00, ctag#AQ, pos#adjective, lemma#absurdo
absurdos => absurdos, tag#NCMP000, ctag#NC, pos#noun, lemma#absurdo
abuelo => abuelo, tag#NCMS000, ctag#NC, pos#noun, lemma#abuelo
abuelos => abuelos, tag#NCMP000, ctag#NC, pos#noun, lemma#abuelo
abundaba => abundaba, tag#VMII3S0, ctag#VMI, pos#verb, lemma#abundar
abundan => abundan, tag#VMIP3P0, ctag#VMI, pos#verb, lemma#abundar
abundancia => abundancia, tag#NCFS000, ctag#NC, pos#noun, lemma#abundancia
abundantemente => abundantemente, tag#RG, ctag#RG, pos#adverb, lemma#abundantemente
abur => abur, tag#I, ctag#I, pos#interjection, lemma#abur
Abur => Abur, tag#I, ctag#I, pos#interjection, lemma#abur
aburras => aburras, tag#VMSP2S0, ctag#VMS, pos#verb, lemma#aburrir
aburres => aburres, tag#VMSP2S0, ctag#VMS, pos#verb, lemma#aburrar
aburrido => aburrido, tag#VMP00SM, ctag#VMP, pos#verb, lemma#aburrir
aburrimiento => aburrimiento, tag#NCMS000, ctag#NC, pos#noun, lemma#aburrimiento
aburrió => aburrió, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#aburrir
aburrir => aburrir, tag#VMN0000, ctag#VMN, pos#verb, lemma#aburrir
aburrirás => aburrirás, tag#VMIF2S0, ctag#VMI, pos#verb, lemma#aburrir
acá => acá, tag#RG, ctag#RG, pos#adverb, lemma#acá
Acá => Acá, tag#RG, ctag#RG, pos#adverb, lemma#acá
acaba => acaba, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#acabar
Acaba => Acaba, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#acabar
acababa => acababa, tag#VMII3S0, ctag#VMI, pos#verb, lemma#acabar
acababan => acababan, tag#VMII3P0, ctag#VMI, pos#verb, lemma#acabar
acabada => acabada, tag#VMP00SF, ctag#VMP, pos#verb, lemma#acabar
acabado => acabado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#acabar
acabamos => acabamos, tag#VMIP1P0, ctag#VMI, pos#verb, lemma#acabar
acaban => acaban, tag#VMIP3P0, ctag#VMI, pos#verb, lemma#acabar
acabando => acabando, tag#VMG0000, ctag#VMG, pos#verb, lemma#acabar
acabará => acabará, tag#VMIF3S0, ctag#VMI, pos#verb, lemma#acabar
acabar => acabar, tag#VMN0000, ctag#VMN, pos#verb, lemma#acabar
acabaremos => acabaremos, tag#VMIF1P0, ctag#VMI, pos#verb, lemma#acabar
acabaron => acabaron, tag#VMIS3P0, ctag#VMI, pos#verb, lemma#acabar
acabas => acabas, tag#VMIP2S0, ctag#VMI, pos#verb, lemma#acabar
Acabemos => Acabemos, tag#VMSP1P0, ctag#VMS, pos#verb, lemma#acabar
acabo => acabo, tag#VMIP1S0, ctag#VMI, pos#verb, lemma#acabar
Acabo => Acabo, tag#VMIP1S0, ctag#VMI, pos#verb, lemma#acabar
acabó => acabó, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#acabar
ac => ac, tag#NCFS000, ctag#NC, pos#noun, lemma#ac
a_cada_instante => a_cada_instante, tag#RG, ctag#RG, pos#adverb, lemma#a_cada_instante
a_cada_paso => a_cada_paso, tag#RG, ctag#RG, pos#adverb, lemma#a_cada_paso
academias => academias, tag#NCFP000, ctag#NC, pos#noun, lemma#academia
Acaeció => Acaeció, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#acaecer
acalorar => acalorar, tag#VMN0000, ctag#VMN, pos#verb, lemma#acalorar
a_cargo_de => a_cargo_de, tag#SP, ctag#SP, pos#adposition, lemma#a_cargo_de
acaso => acaso, tag#RG, ctag#RG, pos#adverb, lemma#acaso
acatar => acatar, tag#VMN0000, ctag#VMN, pos#verb, lemma#acatar
acaudillaron => acaudillaron, tag#VMIS3P0, ctag#VMI, pos#verb, lemma#acaudillar
a_causa_de => a_causa_de, tag#SP, ctag#SP, pos#adposition, lemma#a_causa_de
accesos => accesos, tag#NCMP000, ctag#NC, pos#noun, lemma#acceso
accidente => accidente, tag#NCMS000, ctag#NC, pos#noun, lemma#accidente
acción => acción, tag#NCFS000, ctag#NC, pos#noun, lemma#acción
accionar => accionar, tag#VMN0000, ctag#VMN, pos#verb, lemma#accionar
acciones => acciones, tag#NCFP000, ctag#NC, pos#noun, lemma#acción
acechan => acechan, tag#VMIP3P0, ctag#VMI, pos#verb, lemma#acechar
aceite => aceite, tag#NCMS000, ctag#NC, pos#noun, lemma#aceite
acendrada => acendrada, tag#VMP00SF, ctag#VMP, pos#verb, lemma#acendrar
acento => acento, tag#NCMS000, ctag#NC, pos#noun, lemma#acento
aceptado => aceptado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#aceptar
aceptando => aceptando, tag#VMG0000, ctag#VMG, pos#verb, lemma#aceptar
aceptar => aceptar, tag#VMN0000, ctag#VMN, pos#verb, lemma#aceptar
acepté => acepté, tag#VMIS1S0, ctag#VMI, pos#verb, lemma#aceptar
acepte => acepte, tag#VMSP3S0, ctag#VMS, pos#verb, lemma#aceptar
acepto => acepto, tag#VMIP1S0, ctag#VMI, pos#verb, lemma#aceptar
acequias => acequias, tag#NCFP000, ctag#NC, pos#noun, lemma#acequia
acerada => acerada, tag#VMP00SF, ctag#VMP, pos#verb, lemma#acerar
acerbamente => acerbamente, tag#RG, ctag#RG, pos#adverb, lemma#acerbamente
acerca => acerca, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#acercar
acercaba => acercaba, tag#VMII3S0, ctag#VMI, pos#verb, lemma#acercar
acercaban => acercaban, tag#VMII3P0, ctag#VMI, pos#verb, lemma#acercar
Acercábase => Acercábase, tag#NP00000, ctag#NP, pos#noun, lemma#acercábase
acerca_de => acerca_de, tag#SP, ctag#SP, pos#adposition, lemma#acerca_de
acercando => acercando, tag#VMG0000, ctag#VMG, pos#verb, lemma#acercar
acercar => acercar, tag#VMN0000, ctag#VMN, pos#verb, lemma#acercar
acercaste => acercaste, tag#VMIS2S0, ctag#VMI, pos#verb, lemma#acercar
acercó => acercó, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#acercar
Acercose => Acercose, tag#NP00000, ctag#NP, pos#noun, lemma#acercose
acercose => acercose, tag#VMSP3S0, ctag#VMS, pos#verb, lemma#acercose
acero => acero, tag#NCMS000, ctag#NC, pos#noun, lemma#acero
Acero => Acero, tag#NP00000, ctag#NP, pos#noun, lemma#acero
Aceros => Aceros, tag#NP00000, ctag#NP, pos#noun, lemma#aceros
acertada => acertada, tag#VMP00SF, ctag#VMP, pos#verb, lemma#acertar
acertado => acertado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#acertar
achacar => achacar, tag#VMN0000, ctag#VMN, pos#verb, lemma#achacar
Achaques => Achaques, tag#NCMP000, ctag#NC, pos#noun, lemma#achaque
achicharrando => achicharrando, tag#VMG0000, ctag#VMG, pos#verb, lemma#achicharrar
aciagos => aciagos, tag#AQ0MP00, ctag#AQ, pos#adjective, lemma#aciago
acicalar => acicalar, tag#VMN0000, ctag#VMN, pos#verb, lemma#acicalar
acierto => acierto, tag#NCMS000, ctag#NC, pos#noun, lemma#acierto
aclaración => aclaración, tag#NCFS000, ctag#NC, pos#noun, lemma#aclaración
acobarda => acobarda, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#acobardar
acobardada => acobardada, tag#VMP00SF, ctag#VMP, pos#verb, lemma#acobardar
acobardado => acobardado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#acobardar
acobardes => acobardes, tag#VMSP2S0, ctag#VMS, pos#verb, lemma#acobardar
acoge => acoge, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#acoger
acogiera => acogiera, tag#VMSI3S0, ctag#VMS, pos#verb, lemma#acoger
acólito => acólito, tag#NCMS000, ctag#NC, pos#noun, lemma#acólito
acometía => acometía, tag#VMII3S0, ctag#VMI, pos#verb, lemma#acometer
acometida => acometida, tag#NCFS000, ctag#NC, pos#noun, lemma#acometida
acomodamientos => acomodamientos, tag#NCMP000, ctag#NC, pos#noun, lemma#acomodamiento
acomodar => acomodar, tag#VMN0000, ctag#VMN, pos#verb, lemma#acomodar
acomoden => acomoden, tag#VMSP3P0, ctag#VMS, pos#verb, lemma#acomodar
acomodo => acomodo, tag#NCMS000, ctag#NC, pos#noun, lemma#acomodo
acompaña => acompaña, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#acompañar
acompañado => acompañado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#acompañar
acompañan => acompañan, tag#VMIP3P0, ctag#VMI, pos#verb, lemma#acompañar
acompañando => acompañando, tag#VMG0000, ctag#VMG, pos#verb, lemma#acompañar
acompañará => acompañará, tag#VMIF3S0, ctag#VMI, pos#verb, lemma#acompañar
acompañar => acompañar, tag#VMN0000, ctag#VMN, pos#verb, lemma#acompañar
acompañaron => acompañaron, tag#VMIS3P0, ctag#VMI, pos#verb, lemma#acompañar
acompañase => acompañase, tag#VMSI3S0, ctag#VMS, pos#verb, lemma#acompañar
acompañe => acompañe, tag#VMSP3S0, ctag#VMS, pos#verb, lemma#acompañar
acongojado => acongojado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#acongojar
aconseja => aconseja, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#aconsejar
aconsejábale => aconsejábale, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#aconsejábale
aconsejado => aconsejado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#aconsejar
aconsejar => aconsejar, tag#VMN0000, ctag#VMN, pos#verb, lemma#aconsejar
aconsejaré => aconsejaré, tag#VMIF1S0, ctag#VMI, pos#verb, lemma#aconsejar
aconsejas => aconsejas, tag#VMIP2S0, ctag#VMI, pos#verb, lemma#aconsejar
aconsejé => aconsejé, tag#VMIS1S0, ctag#VMI, pos#verb, lemma#aconsejar
aconseje => aconseje, tag#VMSP3S0, ctag#VMS, pos#verb, lemma#aconsejar
aconsejo => aconsejo, tag#VMIP1S0, ctag#VMI, pos#verb, lemma#aconsejar
acontecido => acontecido, tag#VMP00SM, ctag#VMP, pos#verb, lemma#acontecer
acopiaba => acopiaba, tag#VMII3S0, ctag#VMI, pos#verb, lemma#acopiar
acordonadas => acordonadas, tag#VMP00PF, ctag#VMP, pos#verb, lemma#acordonar
acostado => acostado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#acostar
acostar => acostar, tag#VMN0000, ctag#VMN, pos#verb, lemma#acostar
acostaré => acostaré, tag#VMIF1S0, ctag#VMI, pos#verb, lemma#acostar
acostumbrada => acostumbrada, tag#VMP00SF, ctag#VMP, pos#verb, lemma#acostumbrar
acostumbrado => acostumbrado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#acostumbrar
acostumbrar => acostumbrar, tag#VMN0000, ctag#VMN, pos#verb, lemma#acostumbrar
acostumbras => acostumbras, tag#VMIP2S0, ctag#VMI, pos#verb, lemma#acostumbrar
acostumbres => acostumbres, tag#VMSP2S0, ctag#VMS, pos#verb, lemma#acostumbrar
acostumbro => acostumbro, tag#VMIP1S0, ctag#VMI, pos#verb, lemma#acostumbrar
acreedores => acreedores, tag#NCMP000, ctag#NC, pos#noun, lemma#acreedor
acrisoladas => acrisoladas, tag#VMP00PF, ctag#VMP, pos#verb, lemma#acrisolar
acrisolado => acrisolado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#acrisolar
actitud => actitud, tag#NCFS000, ctag#NC, pos#noun, lemma#actitud
actitudes => actitudes, tag#NCFP000, ctag#NC, pos#noun, lemma#actitud
activamente => activamente, tag#RG, ctag#RG, pos#adverb, lemma#activamente
activas => activas, tag#AQ0FP00, ctag#AQ, pos#adjective, lemma#activo
actividad => actividad, tag#NCFS000, ctag#NC, pos#noun, lemma#actividad
acto => acto, tag#NCMS000, ctag#NC, pos#noun, lemma#acto
actuaba => actuaba, tag#VMII3S0, ctag#VMI, pos#verb, lemma#actuar
actual => actual, tag#AQ0CS00, ctag#AQ, pos#adjective, lemma#actual
actuales => actuales, tag#AQ0CP00, ctag#AQ, pos#adjective, lemma#actual
a_cuatro_pies => a_cuatro_pies, tag#RG, ctag#RG, pos#adverb, lemma#a_cuatro_pies
acuchillado => acuchillado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#acuchillar
acudiendo => acudiendo, tag#VMG0000, ctag#VMG, pos#verb, lemma#acudir
Acudieron => Acudieron, tag#VMIS3P0, ctag#VMI, pos#verb, lemma#acudir
acudir => acudir, tag#VMN0000, ctag#VMN, pos#verb, lemma#acudir
acuerda => acuerda, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#acordar
acuerdo => acuerdo, tag#NCMS000, ctag#NC, pos#noun, lemma#acuerdo
a_cuerpo_de_rey => a_cuerpo_de_rey, tag#RG, ctag#RG, pos#adverb, lemma#a_cuerpo_de_rey
Acuesta => Acuesta, tag#VMM02S0, ctag#VMM, pos#verb, lemma#acostar
acumulan => acumulan, tag#VMIP3P0, ctag#VMI, pos#verb, lemma#acumular
acusado => acusado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#acusar
acusar => acusar, tag#VMN0000, ctag#VMN, pos#verb, lemma#acusar
acusarás => acusarás, tag#VMIF2S0, ctag#VMI, pos#verb, lemma#acusar
Acusavito => Acusavito, tag#NP00000, ctag#NP, pos#noun, lemma#acusavito
acuso => acuso, tag#VMIP1S0, ctag#VMI, pos#verb, lemma#acusar
adalid => adalid, tag#NCMS000, ctag#NC, pos#noun, lemma#adalid
Adelantado => Adelantado, tag#NP00000, ctag#NP, pos#noun, lemma#adelantado
adelantan => adelantan, tag#VMIP3P0, ctag#VMI, pos#verb, lemma#adelantar
adelantando => adelantando, tag#VMG0000, ctag#VMG, pos#verb, lemma#adelantar
adelantar => adelantar, tag#VMN0000, ctag#VMN, pos#verb, lemma#adelantar
adelante => adelante, tag#I, ctag#I, pos#interjection, lemma#adelante
adelante => adelante, tag#RG, ctag#RG, pos#adverb, lemma#adelante
Adelante => Adelante, tag#RG, ctag#RG, pos#adverb, lemma#adelante
adelantó => adelantó, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#adelantar
adelfas => adelfas, tag#NCFP000, ctag#NC, pos#noun, lemma#adelfa
ademán => ademán, tag#NCMS000, ctag#NC, pos#noun, lemma#ademán
ademanes => ademanes, tag#NCMP000, ctag#NC, pos#noun, lemma#ademán
además => además, tag#RG, ctag#RG, pos#adverb, lemma#además
Además => Además, tag#RG, ctag#RG, pos#adverb, lemma#además
Además_de => Además_de, tag#SP, ctag#SP, pos#adposition, lemma#además_de
adiós => adiós, tag#I, ctag#I, pos#interjection, lemma#adiós
Adiós => Adiós, tag#I, ctag#I, pos#interjection, lemma#adiós
adiós => adiós, tag#NCMS000, ctag#NC, pos#noun, lemma#adiós
adivinar => adivinar, tag#VMN0000, ctag#VMN, pos#verb, lemma#adivinar
administración => administración, tag#NCFS000, ctag#NC, pos#noun, lemma#administración
administradas => administradas, tag#VMP00PF, ctag#VMP, pos#verb, lemma#administrar
administrando => administrando, tag#VMG0000, ctag#VMG, pos#verb, lemma#administrar
administrar => administrar, tag#VMN0000, ctag#VMN, pos#verb, lemma#administrar
admirable => admirable, tag#AQ0CS00, ctag#AQ, pos#adjective, lemma#admirable
admirables => admirables, tag#AQ0CP00, ctag#AQ, pos#adjective, lemma#admirable
admiración => admiración, tag#NCFS000, ctag#NC, pos#noun, lemma#admiración
admirada => admirada, tag#VMP00SF, ctag#VMP, pos#verb, lemma#admirar
admirado => admirado, tag#VMP00SM, ctag#VMP, pos#verb, lemma#admirar
admirando => admirando, tag#VMG0000, ctag#VMG, pos#verb, lemma#admirar
admirar => admirar, tag#VMN0000, ctag#VMN, pos#verb, lemma#admirar
admite => admite, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#admitir
admitía => admitía, tag#VMII3S0, ctag#VMI, pos#verb, lemma#admitir
admitidos => admitidos, tag#VMP00PM, ctag#VMP, pos#verb, lemma#admitir
admitir => admitir, tag#VMN0000, ctag#VMN, pos#verb, lemma#admitir
adobes => adobes, tag#NCMP000, ctag#NC, pos#noun, lemma#adobe
adobo => adobo, tag#NCMS000, ctag#NC, pos#noun, lemma#adobo
adocenados => adocenados, tag#VMP00PM, ctag#VMP, pos#verb, lemma#adocenar
a_donde => a_donde, tag#RG, ctag#RG, pos#adverb, lemma#a_donde
adoptar => adoptar, tag#VMN0000, ctag#VMN, pos#verb, lemma#adoptar
adora => adora, tag#VMIP3S0, ctag#VMI, pos#verb, lemma#adorar
adorable => adorable, tag#AQ0CS00, ctag#AQ, pos#adjective, lemma#adorable
adorada => adorada, tag#VMP00SF, ctag#VMP, pos#verb, lemma#adorar
adoramos => adoramos, tag#VMIP1P0, ctag#VMI, pos#verb, lemma#adorar
adoran => adoran, tag#VMIP3P0, ctag#VMI, pos#verb, lemma#adorar
adorar => adorar, tag#VMN0000, ctag#VMN, pos#verb, lemma#adorar
adornan => adornan, tag#VMIP3P0, ctag#VMI, pos#verb, lemma#adornar
adornos => adornos, tag#NCMP000, ctag#NC, pos#noun, lemma#adorno
adoro => adoro, tag#VMIP1S0, ctag#VMI, pos#verb, lemma#adorar
adquirió => adquirió, tag#VMIS3S0, ctag#VMI, pos#verb, lemma#adquirir
adulador => adulador, tag#AQ0MS00, ctag#AQ, pos#adjective, lemma#adulador
adusto => adusto, tag#AQ0MS00, ctag#AQ, pos#adjective, lemma#adusto
advertencia => advertencia, tag#NCFS000, ctag#NC, pos#noun, lemma#advertencia
advertencias => advertencias, tag#NCFP000, ctag#NC, pos#noun, lemma#advertencia
advertía => advertía, tag#VMII3S0, ctag#VMI, pos#verb, lemma#advertir
advertí => advertí, tag#VMIS1S0, ctag#VMI, pos#verb, lemma#advertir
advertido => advertido, tag#VMP00SM, ctag#VMP, pos#verb, lemma#advertir
advertir => advertir, tag#VMN0000, ctag#VMN, pos#verb, lemma#advertir
advierto => advierto, tag#VMIP1S0, ctag#VMI, pos#verb, lemma#advertir
advirtiendo => advirtiendo, tag#VMG0000, ctag#VMG, pos#verb, lemma#advertir
advirtieron => advirtieron, tag#VMIS3P0, ctag#VMI, pos#verb, lemma#advertir
a_el_cabo_de => a_el_cabo_de, tag#SP, ctag#SP, pos#adposition, lemma#al_cabo_de
a_el_calor_de => a_el_calor_de, tag#SP, ctag#SP, pos#adposition, lemma#al_calor_de
a_el_compás_de => a_el_compás_de, tag#SP, ctag#SP, pos#adposition, lemma#al_compás_de
a_el_fin_y_a_el_cabo => a_el_fin_y_a_el_cabo, tag#RG, ctag#RG, pos#adverb, lemma#al_fin_y_al_cabo
a_el_modo_de => a_el_modo_de, tag#SP, ctag#SP, pos#adposition, lemma#al_modo_de
a_el_pie_de_la_letra => a_el_pie_de_la_letra, tag#RG, ctag#RG, pos#adverb, lemma#al_pie_de_la_letra
a_el_tanto_de => a_el_tanto_de, tag#SP, ctag#SP, pos#adposition, lemma#al_tanto_de
a_escape => a_escape, tag#RG, ctag#RG, pos#adverb, lemma#a_escape
a_eso_de => a_eso_de, tag#SP, ctag#SP, pos#adposition, lemma#a_eso_de
a_espaldas_de => a_espaldas_de, tag#SP, ctag#SP, pos#adposition, lemma#a_espaldas_de
afable => afable, tag#AQ0CS00, ctag#AQ, pos#adjective, lemma#afable
